,Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
189,fire coming out of the monkey's head,0.0,0.13,0.12,0.35,0.15,0.25,Fear,Gorillaz
190,some kind of nature,0.005,0.55,0.04,0.06,0.15,0.21,Fear,Gorillaz
191,momentary bliss,0.0199999999999999,0.12,0.05,0.42,0.18,0.23,Fear,Gorillaz
192,let me out,0.01,0.22,0.0,0.44,0.14,0.19,Fear,Gorillaz
193,souk eye,0.01,0.21,0.05,0.26,0.21,0.26,Fear,Gorillaz
194,ascension,0.0,0.1,0.02,0.2,0.41,0.27,Fear,Gorillaz
195,feel good inc.,0.01,0.22,0.03,0.27,0.3,0.19,Fear,Gorillaz
196,cloud of unknowing,0.0149999999999999,0.11,0.06,0.39,0.22,0.22,Fear,Gorillaz
197,mls,0.01,0.27,0.03,0.23,0.26,0.21,Fear,Gorillaz
198,fire flies,0.0,0.06,0.0,0.47,0.25,0.22,Fear,Gorillaz
199,submission,0.01,0.17,0.2,0.31,0.09,0.23,Fear,Gorillaz
200,phoenix on the hill,0.0,0.0,0.0,0.0,0.0,0.0,Happy,Gorillaz
201,doncamatic,0.0,0.09,0.0,0.06,0.09,0.75,Happy,Gorillaz
202,last living souls,0.0,0.09,0.05,0.09,0.68,0.09,Happy,Gorillaz
203,skinny ape,0.0,0.11,0.0,0.37,0.15,0.37,Happy,Gorillaz
204,momentary bliss,0.005,0.12,0.05,0.42,0.18,0.23,Happy,Gorillaz
205,to binge,0.0,0.24,0.12,0.24,0.24,0.18,Happy,Gorillaz
206,fire coming out of the monkey's head,0.0,0.13,0.12,0.35,0.15,0.25,Happy,Gorillaz
207,meanwhile,0.0049999999999999,0.23,0.08,0.38,0.12,0.18,Happy,Gorillaz
208,rockit,0.0,0.14,0.0,0.5,0.09,0.27,Happy,Gorillaz
209,new gold,0.0,0.14,0.02,0.14,0.44,0.27,Happy,Gorillaz
210,strange timez,0.0,0.11,0.05,0.11,0.16,0.58,Happy,Gorillaz
211,kids with guns,0.0,0.09,0.0,0.43,0.1,0.37,Happy,Gorillaz
212,dead butterflies,0.0,0.1,0.02,0.27,0.32,0.29,Happy,Gorillaz
213,dirty harry,0.0099999999999999,0.08,0.0,0.32,0.16,0.45,Happy,Gorillaz
214,silent running,0.0,0.12,0.0,0.47,0.12,0.29,Happy,Gorillaz
215,empire ants,0.01,0.1,0.05,0.15,0.15,0.55,Happy,Gorillaz
216,ascension,0.01,0.1,0.02,0.2,0.41,0.27,Happy,Gorillaz
217,cloud of unknowing,0.02,0.11,0.06,0.39,0.22,0.22,Happy,Gorillaz
218,white flag,0.0099999999999999,0.12,0.02,0.34,0.22,0.29,Happy,Gorillaz
219,clint eastwood,0.02,0.14,0.02,0.11,0.55,0.18,Happy,Gorillaz
220,stylo,0.0,0.15,0.15,0.24,0.2,0.27,Happy,Gorillaz
221,all alone,0.0099999999999999,0.15,0.05,0.4,0.25,0.15,Happy,Gorillaz
222,4-may,0.1799999999999999,0.0,0.0,0.09,0.91,0.0,,Gorillaz
223,garage palace,0.39,0.12,0.09,0.15,0.3,0.33,,Gorillaz
224,ascension,0.24,0.1,0.02,0.2,0.41,0.27,,Gorillaz
225,skinny ape,0.27,0.11,0.0,0.37,0.15,0.37,,Gorillaz
226,rhinestone eyes,0.2249999999999999,0.13,0.21,0.16,0.21,0.29,,Gorillaz
227,mls,0.22,0.27,0.03,0.23,0.26,0.21,,Gorillaz
228,jimmy jimmy,0.17,0.2,0.09,0.22,0.17,0.33,,Gorillaz
229,busted and blue,0.1599999999999999,0.23,0.04,0.27,0.19,0.27,,Gorillaz
230,stylo,0.2499999999999999,0.15,0.15,0.24,0.2,0.27,,Gorillaz
231,fire coming out of the monkey's head,0.26,0.13,0.12,0.35,0.15,0.25,,Gorillaz
232,white flag,0.26,0.12,0.02,0.34,0.22,0.29,,Gorillaz
233,dead butterflies,0.3,0.1,0.02,0.27,0.32,0.29,,Gorillaz
234,souk eye,0.235,0.21,0.05,0.26,0.21,0.26,,Gorillaz
235,dirty harry,0.22,0.08,0.0,0.32,0.16,0.45,,Gorillaz
236,momentary bliss,0.23,0.12,0.05,0.42,0.18,0.23,,Gorillaz
237,silent running,0.33,0.12,0.0,0.47,0.12,0.29,,Gorillaz
238,magic city,0.26,0.06,0.06,0.36,0.24,0.27,,Gorillaz
239,cloud of unknowing,0.25,0.11,0.06,0.39,0.22,0.22,,Gorillaz
240,meanwhile,0.295,0.23,0.08,0.38,0.12,0.18,,Gorillaz
241,feel good inc.,0.27,0.22,0.03,0.27,0.3,0.19,,Gorillaz
242,all alone,0.25,0.15,0.05,0.4,0.25,0.15,,Gorillaz
243,crystalised,0.24,0.08,0.08,0.25,0.25,0.33,,Gorillaz
244,latin simone (?que pasa contigo?),0.0,1.0,0.0,0.0,0.0,0.0,Sad,Gorillaz
245,clint eastwood,0.0,0.14,0.02,0.11,0.55,0.18,Sad,Gorillaz
246,hallelujah money,0.01,0.22,0.08,0.14,0.43,0.14,Sad,Gorillaz
247,rhinestone eyes,0.0,0.13,0.21,0.16,0.21,0.29,Sad,Gorillaz
248,garage palace,0.01,0.12,0.09,0.15,0.3,0.33,Sad,Gorillaz
249,welcome to the world of the plastic beach,0.0199999999999999,0.41,0.07,0.22,0.11,0.19,Sad,Gorillaz
250,el manana,0.0,0.45,0.1,0.2,0.15,0.1,Sad,Gorillaz
251,jimmy jimmy,0.0049999999999999,0.2,0.09,0.22,0.17,0.33,Sad,Gorillaz
252,ascension,0.0,0.1,0.02,0.2,0.41,0.27,Sad,Gorillaz
253,tranz,0.0199999999999999,0.0,0.0,0.22,0.17,0.61,Sad,Gorillaz
254,the pink phantom,0.02,0.29,0.1,0.18,0.1,0.32,Sad,Gorillaz
255,mls,0.02,0.27,0.03,0.23,0.26,0.21,Sad,Gorillaz
256,souk eye,0.0,0.21,0.05,0.26,0.21,0.26,Sad,Gorillaz
257,dirty harry,0.0,0.08,0.0,0.32,0.16,0.45,Sad,Gorillaz
258,sweepstakes,0.0199999999999999,0.21,0.03,0.28,0.11,0.37,Sad,Gorillaz
259,november has come,0.0099999999999999,0.07,0.23,0.23,0.2,0.27,Sad,Gorillaz
260,stylo,0.01,0.15,0.15,0.24,0.2,0.27,Sad,Gorillaz
261,submission,0.01,0.17,0.2,0.31,0.09,0.23,Sad,Gorillaz
262,white flag,0.02,0.12,0.02,0.34,0.22,0.29,Sad,Gorillaz
263,busted and blue,0.0,0.23,0.04,0.27,0.19,0.27,Sad,Gorillaz
264,feel good inc.,0.0,0.22,0.03,0.27,0.3,0.19,Sad,Gorillaz
265,dead butterflies,0.01,0.1,0.02,0.27,0.32,0.29,Sad,Gorillaz
266,4-may,0.0899999999999999,0.0,0.0,0.09,0.91,0.0,Surprise,Gorillaz
267,dirty harry,0.0,0.08,0.0,0.32,0.16,0.45,Surprise,Gorillaz
268,out of body,0.01,0.03,0.07,0.17,0.36,0.37,Surprise,Gorillaz
269,momentary bliss,0.0099999999999999,0.12,0.05,0.42,0.18,0.23,Surprise,Gorillaz
270,strange timez,0.01,0.11,0.05,0.11,0.16,0.58,Surprise,Gorillaz
271,some kind of nature,0.01,0.55,0.04,0.06,0.15,0.21,Surprise,Gorillaz
272,jimmy jimmy,0.0099999999999999,0.2,0.09,0.22,0.17,0.33,Surprise,Gorillaz
273,the pink phantom,0.0,0.29,0.1,0.18,0.1,0.32,Surprise,Gorillaz
274,fire coming out of the monkey's head,0.0,0.13,0.12,0.35,0.15,0.25,Surprise,Gorillaz
275,empire ants,0.0,0.1,0.05,0.15,0.15,0.55,Surprise,Gorillaz
276,skinny ape,0.0,0.11,0.0,0.37,0.15,0.37,Surprise,Gorillaz
277,tranz,0.02,0.0,0.0,0.22,0.17,0.61,Surprise,Gorillaz
278,meanwhile,0.01,0.23,0.08,0.38,0.12,0.18,Surprise,Gorillaz
279,silent running,0.03,0.12,0.0,0.47,0.12,0.29,Surprise,Gorillaz
280,let me out,0.0099999999999999,0.22,0.0,0.44,0.14,0.19,Surprise,Gorillaz
281,tomorrow comes today,0.03,0.12,0.0,0.0,0.12,0.75,Surprise,Gorillaz
282,busted and blue,0.03,0.23,0.04,0.27,0.19,0.27,Surprise,Gorillaz
283,welcome to the world of the plastic beach,0.0,0.41,0.07,0.22,0.11,0.19,Surprise,Gorillaz
284,interlude: the non-conformist oath,0.04,0.12,0.0,0.75,0.12,0.0,Surprise,Gorillaz
285,every planet we reach is dead,0.0,0.24,0.18,0.24,0.18,0.18,Surprise,Gorillaz
286,white flag,0.0,0.12,0.02,0.34,0.22,0.29,Surprise,Gorillaz
287,to binge,0.0,0.24,0.12,0.24,0.24,0.18,Surprise,Gorillaz
288,hold on,0.0,0.27,0.07,0.33,0.2,0.13,Angry,Little Dragon
289,disco dangerous,0.0,0.44,0.0,0.22,0.11,0.22,Angry,Little Dragon
290,slugs of love,0.0,0.55,0.04,0.28,0.0,0.13,Angry,Little Dragon
291,cat rider,0.0,0.16,0.05,0.19,0.22,0.38,Angry,Little Dragon
292,test,0.0,0.0,0.05,0.48,0.14,0.33,Angry,Little Dragon
293,turn left,0.01,0.11,0.05,0.11,0.53,0.21,Angry,Little Dragon
294,tumbling dice,0.02,0.25,0.07,0.29,0.14,0.25,Angry,Little Dragon
295,new fiction,0.02,0.15,0.03,0.58,0.21,0.03,Angry,Little Dragon
296,amoban,0.02,0.14,0.07,0.25,0.25,0.29,Angry,Little Dragon
297,looking glass,0.02,0.1,0.07,0.47,0.23,0.13,Angry,Little Dragon
298,only one,0.0,0.0,0.08,0.33,0.42,0.17,Angry,Little Dragon
299,a new,0.0,0.14,0.29,0.29,0.0,0.29,Fear,Little Dragon
300,disco dangerous,0.0,0.44,0.0,0.22,0.11,0.22,Fear,Little Dragon
301,my step,0.0,0.12,0.0,0.53,0.18,0.18,Fear,Little Dragon
302,the pop life,0.01,0.07,0.11,0.26,0.22,0.33,Fear,Little Dragon
303,amoban,0.0,0.14,0.07,0.25,0.25,0.29,Fear,Little Dragon
304,gold,0.01,0.17,0.0,0.27,0.22,0.34,Fear,Little Dragon
305,easy falling,0.0,0.14,0.1,0.43,0.05,0.29,Fear,Little Dragon
306,shuffle a dream,0.0,0.05,0.0,0.34,0.32,0.29,Fear,Little Dragon
307,strobe light,0.0,0.14,0.19,0.3,0.11,0.27,Fear,Little Dragon
308,klapp klapp,0.0,0.05,0.08,0.27,0.38,0.22,Fear,Little Dragon
309,turn left,0.01,0.11,0.05,0.11,0.53,0.21,Fear,Little Dragon
310,looking glass,0.0199999999999999,0.1,0.07,0.47,0.23,0.13,Happy,Little Dragon
311,my step,0.0,0.12,0.0,0.53,0.18,0.18,Happy,Little Dragon
312,killing me,0.01,0.06,0.0,0.44,0.36,0.14,Happy,Little Dragon
