name,happy,fear,angry,sad,surprise,Closeness_Score,Iteration,Emotion,ArtistName,
The Problem With Your Daughter,0.25,0.31,0.06,0.12,0.25,0.33,3,None,Lord Huron,
In the Wind,0.11,0.26,0.05,0.05,0.53,0.62,3,None,Lord Huron,
Drops in the Lake,0.1,0.29,0.13,0.29,0.19,0.15,4,None,Lord Huron,
Hurricane (Johnnie's Theme),0.06,0.31,0.16,0.25,0.22,0.19,4,None,Lord Huron,
The World Ender,0.09,0.26,0.06,0.34,0.26,0.2,4,None,Lord Huron,
Moonbeam,0.05,0.35,0.05,0.3,0.25,0.27,4,None,Lord Huron,
Frozen Pines,0.11,0.17,0.11,0.28,0.33,0.27,4,None,Lord Huron,
Your Other Life,0.18,0.29,0.18,0.18,0.18,0.28,4,None,Lord Huron,
Secret of Life,0,0.35,0.12,0.27,0.25,0.28,4,None,Lord Huron,
Not Dead Yet,0.04,0.35,0.13,0.22,0.26,0.29,4,None,Lord Huron,
Mine Forever,0.12,0.24,0.04,0.2,0.4,0.33,4,None,Lord Huron,
The Problem With Your Daughter,0.25,0.31,0.06,0.12,0.25,0.36,4,None,Lord Huron,
In the Wind,0.11,0.26,0.05,0.05,0.53,0.59,4,None,Lord Huron,
Hurricane (Johnnie's Theme),0.06,0.31,0.16,0.25,0.22,0.15,5,None,Lord Huron,
The World Ender,0.09,0.26,0.06,0.34,0.26,0.16,5,None,Lord Huron,
Moonbeam,0.05,0.35,0.05,0.3,0.25,0.19,5,None,Lord Huron,
The Yawning Grave,0.04,0.39,0.04,0.25,0.29,0.24,5,None,Lord Huron,
Not Dead Yet,0.04,0.35,0.13,0.22,0.26,0.25,5,None,Lord Huron,
Mine Forever,0.12,0.24,0.04,0.2,0.4,0.33,5,None,Lord Huron,
Frozen Pines,0.11,0.17,0.11,0.28,0.33,0.33,5,None,Lord Huron,
Lonesome Dreams,0.08,0.19,0.02,0.28,0.43,0.37,5,None,Lord Huron,
The Problem With Your Daughter,0.25,0.31,0.06,0.12,0.25,0.4,5,None,Lord Huron,
Vide Noir,0.04,0.29,0.04,0.5,0.14,0.4,5,None,Lord Huron,
I Lied,0.07,0.15,0.05,0.22,0.51,0.45,5,None,Lord Huron,
In the Wind,0.11,0.26,0.05,0.05,0.53,0.57,5,None,Lord Huron,
Time to Run,0.02,0.27,0.1,0.05,0.56,0.63,5,None,Lord Huron,
Not Dead Yet,0.04,0.35,0.13,0.22,0.26,0.19,6,None,Lord Huron,
Moonbeam,0.05,0.35,0.05,0.3,0.25,0.25,6,None,Lord Huron,
Secret of Life,0,0.35,0.12,0.27,0.25,0.26,6,None,Lord Huron,
The World Ender,0.09,0.26,0.06,0.34,0.26,0.3,6,None,Lord Huron,
The Problem With Your Daughter,0.25,0.31,0.06,0.12,0.25,0.3,6,None,Lord Huron,
Never Ever,0.32,0.27,0,0.14,0.27,0.45,6,None,Lord Huron,
Vide Noir,0.04,0.29,0.04,0.5,0.14,0.5,6,None,Lord Huron,
I Lied,0.07,0.15,0.05,0.22,0.51,0.53,6,None,Lord Huron,
